https://anime.nicovideo.jp/detail/araoto-anime/index.html,89942,95022,82541,76879,
https://anime.nicovideo.jp/detail/arifureta/index.html,347,322,318,323,
https://anime.nicovideo.jp/detail/ensemblestars-anime/index.html,29,30,6250,25,
https://anime.nicovideo.jp/detail/isekai-cheat-magician/index.html,27490,24795,22107,28913,
https://anime.nicovideo.jp/detail/fireforce-anime/index.html,199,220,194,184,
https://anime.nicovideo.jp/detail/aotu/index.html,6819,6813,6856,6814,
https://anime.nicovideo.jp/detail/astra-anime/index.html,98694,80409,72084,78957,
https://anime.nicovideo.jp/detail/hensuki/index.html,75091,81564,97909,97854,
https://anime.nicovideo.jp/detail/cf-vanguard2019/index.html,7341,6770,7628,6683,
https://anime.nicovideo.jp/detail/kimetsu/index.html,313448,327384,367047,348038,
https://anime.nicovideo.jp/detail/granbelm/index.html,255,245,236,237,
https://anime.nicovideo.jp/detail/wakanobu/index.html,9021,9067,9123,8843,
https://anime.nicovideo.jp/detail/yuno-anime/index.html,36899,39292,36043,40581,
https://anime.nicovideo.jp/detail/jyoshimuda/index.html,233692,244799,204006,196134,
https://anime.nicovideo.jp/detail/symphogear-xv/index.html,108888,104050,101721,132072,
https://anime.nicovideo.jp/detail/sounandesuka/index.html,157984,145716,142120,153875,
https://anime.nicovideo.jp/detail/diaaceact/index.html,114,97,101,6,
https://anime.nicovideo.jp/detail/danmachi2/index.html,115787,141531,120511,103972,
https://anime.nicovideo.jp/detail/dumbbell-anime/index.html,355264,325044,271858,266321,
https://anime.nicovideo.jp/detail/okaasan-online/index.html,62739,55379,56389,75373,
https://anime.nicovideo.jp/detail/tejina-senpai/index.html,265936,246483,223935,195744,
https://anime.nicovideo.jp/detail/tryknights/index.html,93,87,68,51,
https://anime.nicovideo.jp/detail/dr-stone/index.html,95507,87851,63973,213,
https://anime.nicovideo.jp/detail/nhg-anime/index.html,20264,19211,20970,18427,
https://anime.nicovideo.jp/detail/pirikarakochan/index.html,14393,14062,14247,13941,
https://anime.nicovideo.jp/detail/bakugan-bp/index.html,4809,4825,4786,5030,
https://anime.nicovideo.jp/detail/anime-pad2/index.html,6391,5430,6222,6112,
https://anime.nicovideo.jp/detail/businessfish/index.html,98,93,90,73,
https://anime.nicovideo.jp/detail/fairytail-tv/index.html,17,15,23,8,
https://anime.nicovideo.jp/detail/freej/index.html,5099,4978,4911,5011,
https://anime.nicovideo.jp/detail/fruba/index.html,237,232,322,258,
https://anime.nicovideo.jp/detail/newbem/index.html,23959,27254,25057,13339,
https://anime.nicovideo.jp/detail/maousama-anime/index.html,143919,142880,138013,141491,
https://anime.nicovideo.jp/detail/machikado/index.html,271334,268415,234341,236686,
https://anime.nicovideo.jp/detail/yubinetsu/index.html,78235,81523,90045,51471,
https://anime.nicovideo.jp/detail/youkai-watch2019/index.html,15396,16997,17563,14567,
https://anime.nicovideo.jp/detail/rst-anime/index.html,62091,71964,63140,60236,
https://anime.nicovideo.jp/detail/anime-elmelloi/index.html,170812,172437,193480,204952,
https://anime.nicovideo.jp/detail/prichan/index.html,33283,38446,39098,483,
https://anime.nicovideo.jp/detail/oshiri-tantei/index.html,51,53,58,33,
https://anime.nicovideo.jp/detail/takagi3_me2/index.html,727,719,825,810,
https://anime.nicovideo.jp/detail/cf-vanguard-sem/index.html,7341,6770,7628,6685,
https://anime.nicovideo.jp/detail/copcraft/index.html,14470,320,318,264,
https://anime.nicovideo.jp/detail/nep-animeova/index.html,362,
https://anime.nicovideo.jp/detail/duelmasters-2019/index.html,24525,10535,
https://anime.nicovideo.jp/detail/accelerator/index.html,161,153,154,116,
https://anime.nicovideo.jp/detail/coco-tama/index.html,7829,8047,7728,9396,
https://anime.nicovideo.jp/detail/kitaro6/index.html,109,119,107,84,
https://anime.nicovideo.jp/detail/bclover/index.html,136,102,102,21,
https://anime.nicovideo.jp/detail/boruto/index.html,83,89,70,44,
https://anime.nicovideo.jp/detail/pikachin/index.html,5943,6256,6822,2982,
https://anime.nicovideo.jp/detail/yugioh-vrains/index.html,40798,42395,48521,55566,
https://anime.nicovideo.jp/detail/yamishibai7/index.html,0,
https://anime.nicovideo.jp/detail/uchinoko-anime/index.html,0,
https://anime.nicovideo.jp/detail/mowai-kun/index.html,0,
https://anime.nicovideo.jp/detail/katsu-kami/index.html,0,
https://anime.nicovideo.jp/detail/given-anime/index.html,0,
https://anime.nicovideo.jp/detail/kengan/index.html,0,
https://anime.nicovideo.jp/detail/zannen/index.html,0,
https://anime.nicovideo.jp/detail/hstar-mu03/index.html,0,
https://anime.nicovideo.jp/detail/saintseiya-kotz/index.html,0,
https://anime.nicovideo.jp/detail/trolls/index.html,0,
https://anime.nicovideo.jp/detail/monster-strike2/index.html,0,
https://anime.nicovideo.jp/detail/heromask/index.html,0,
https://anime.nicovideo.jp/detail/brs/index.html,0,
https://anime.nicovideo.jp/detail/miniyuri/index.html,0,
https://anime.nicovideo.jp/detail/bcloversp/index.html,0,
https://anime.nicovideo.jp/detail/waresyo/index.html,0,
https://anime.nicovideo.jp/detail/vinlandsaga/index.html,0,
https://anime.nicovideo.jp/detail/konosubamovie/index.html,0,
